rouge1_f,rouge2_f,rougeL_f,latency_sec,compression_ratio,repetition_rate,guid,top_k,article_char_len,reference_char_len,engine
0.4350282485875706,0.2556818181818182,0.2542372881355932,0.0005075000080978498,0.2913681337427499,0.045454545454545414,14528,2,2931,235,tfidf
0.125,0.0,0.1,0.000524500006577,0.010469314079422382,0.0,18313,2,2770,217,tfidf
0.17777777777777776,0.0,0.13333333333333333,0.0004681999998865649,0.020700636942675158,0.0,7791,2,2512,116,tfidf
0.4,0.15384615384615385,0.23448275862068968,0.0004859000036958605,0.10780952380952381,0.0,2597,2,2625,156,tfidf
0.38647342995169076,0.25365853658536586,0.24154589371980675,0.00029490000451914966,0.31642358909321494,0.02564102564102566,10618,2,1577,130,tfidf
0.49019607843137253,0.12,0.2745098039215686,0.0006648000126006082,0.032667876588021776,0.0,4572,2,3857,200,tfidf
0.3846153846153846,0.04687499999999999,0.2,0.00046640000073239207,0.09628252788104089,0.050000000000000044,5293,2,2690,132,tfidf
0.4327485380116959,0.1301775147928994,0.2923976608187135,0.0004907999973511323,0.1440585009140768,0.015625,14422,2,2735,114,tfidf
0.48543689320388345,0.099009900990099,0.23300970873786409,0.0005101999995531514,0.08288928359976318,0.0,15241,2,1689,163,tfidf
0.49504950495049505,0.23,0.23762376237623759,0.0003181000065524131,0.2589595375722543,0.026666666666666616,3515,2,1730,153,tfidf
0.48803827751196177,0.14492753623188406,0.2679425837320575,0.00037990001146681607,0.2046023011505753,0.10606060606060608,17037,2,1999,204,tfidf
0.49101796407185627,0.26666666666666666,0.2994011976047904,0.0002702999918255955,0.2889944576405384,0.0,16985,2,1263,156,tfidf
0.5035971223021583,0.18978102189781024,0.25899280575539574,0.0009042000019690022,0.05083415112855741,0.0,10706,2,5095,146,tfidf
0.5641025641025642,0.19130434782608696,0.30769230769230765,0.00034410000080242753,0.08766564729867482,0.0,4292,2,1962,200,tfidf
0.46846846846846846,0.14678899082568805,0.25225225225225223,0.0008014000050025061,0.12330456226880394,0.0,3022,2,1622,151,tfidf
0.43333333333333335,0.05084745762711865,0.2833333333333333,0.0007864999934099615,0.06864724545716758,0.0,8033,2,3467,127,tfidf
0.5473684210526316,0.10752688172043011,0.2736842105263158,0.0003536000003805384,0.09480296973158195,0.0,12663,2,1751,127,tfidf
0.577319587628866,0.12631578947368421,0.30927835051546393,0.00041290000081062317,0.06317267197005147,0.0,1131,2,2137,150,tfidf
0.5128205128205128,0.27272727272727276,0.3333333333333333,0.00022960000205785036,0.3017312448474856,0.0,11856,2,1213,141,tfidf
0.4367816091954023,0.1411764705882353,0.29885057471264365,0.00044970000453758985,0.05480016481252575,0.0,9978,2,2427,128,tfidf
0.5688073394495413,0.1308411214953271,0.2752293577981651,0.000564800007850863,0.04467805519053877,0.0,3140,2,3044,170,tfidf
0.5294117647058824,0.2142857142857143,0.2941176470588235,0.0006166999955894426,0.0945179584120983,0.015625,1660,2,3703,168,tfidf
0.5491803278688524,0.17355371900826447,0.27868852459016397,0.0004518000059761107,0.18838241226300928,0.012499999999999956,22543,2,2479,249,tfidf
0.6099290780141844,0.1870503597122302,0.3120567375886525,0.0003958000015700236,0.1140547822182308,0.0,5956,2,2227,170,tfidf
0.37777777777777777,0.07865168539325844,0.21111111111111114,0.0005984000017633662,0.10797640420620672,0.0,20421,2,3899,144,tfidf
0.4210526315789474,0.1466666666666667,0.2368421052631579,0.0005219000013312325,0.11008902077151335,0.03703703703703709,13602,2,3370,121,tfidf
0.35714285714285715,0.024390243902439025,0.21428571428571427,0.0007842999912099913,0.029448885149347917,0.0,9053,2,4754,122,tfidf
0.40211640211640215,0.09625668449197862,0.2433862433862434,0.0005775000026915222,0.13506658211794548,0.08450704225352113,20801,2,3154,165,tfidf
0.5205479452054794,0.125,0.2876712328767123,0.0003031999949598685,0.22192691029900333,0.017857142857142905,9971,2,1505,146,tfidf
0.4370860927152318,0.1342281879194631,0.27814569536423844,0.00027660001069307327,0.22427440633245382,0.0,9821,2,1516,133,tfidf
0.5348837209302325,0.2,0.2906976744186046,0.0008144000021275133,0.03736356003358522,0.0,6235,2,4764,344,tfidf
0.4727272727272727,0.09259259259259257,0.23636363636363636,0.0004346000059740618,0.09117281392457521,0.02777777777777779,6131,2,2413,137,tfidf
0.6666666666666666,0.18072289156626506,0.3333333333333333,0.0005522999999811873,0.08115759672853098,0.0,17675,2,3179,212,tfidf
0.5139664804469273,0.13559322033898305,0.26815642458100564,0.00046969999675638974,0.13837920489296637,0.0,2895,2,2616,180,tfidf
0.3548387096774193,0.06666666666666667,0.22580645161290322,0.0003826999891316518,0.04611260053619303,0.0,788,2,1865,122,tfidf
0.43093922651933697,0.23463687150837992,0.23204419889502761,0.00030519999563694,0.2783576896311761,0.0,7289,2,1437,123,tfidf
0.35359116022099446,0.055865921787709494,0.23204419889502761,0.0006060000014258549,0.1326186830015314,0.0,10055,2,3265,124,tfidf
0.5,0.2222222222222222,0.28125,0.00024149999080691487,0.23596419853539463,0.017241379310344862,15545,2,1229,139,tfidf
0.45098039215686286,0.13999999999999999,0.3333333333333333,0.00026590000197757035,0.07148014440433213,0.0,7340,2,1385,210,tfidf
0.5714285714285714,0.14545454545454545,0.30357142857142855,0.000788799996371381,0.029197080291970802,0.0,19143,2,4521,201,tfidf
0.45112781954887216,0.07633587786259542,0.30075187969924805,0.000683299993397668,0.04589308996088657,0.0,6647,2,3835,253,tfidf
0.39999999999999997,0.06896551724137932,0.19999999999999998,0.0005862000107299536,0.01837806301050175,0.0,8968,2,3428,131,tfidf
0.4895104895104894,0.22695035460992907,0.22377622377622378,0.00025019999884534627,0.19396847155586017,0.0,17743,2,1459,138,tfidf
0.49230769230769234,0.046875,0.27692307692307694,0.0006527000077767298,0.043520309477756286,0.0,19795,2,4136,198,tfidf
0.4122137404580153,0.10852713178294573,0.183206106870229,0.0005581999866990373,0.04620668123634093,0.0,1553,2,3203,290,tfidf
0.0,0.0,0.0,0.0007674999942537397,0.007569204152249135,0.0,10768,2,4624,131,tfidf
0.5714285714285713,0.09677419354838711,0.2698412698412698,0.0005378999921958894,0.058161953727506426,0.0,16298,2,3112,199,tfidf
0.5157232704402516,0.16560509554140126,0.2767295597484277,0.00022109999554231763,0.2600896860986547,0.0,6918,2,1338,162,tfidf
0.4834123222748815,0.3923444976076555,0.2938388625592417,0.0007801000028848648,0.088107392701834,0.025000000000000022,17452,2,5289,168,tfidf
0.40476190476190477,0.024390243902439025,0.2380952380952381,0.0002570000069681555,0.10573770491803279,0.0,8494,2,1220,115,tfidf
0.49411764705882355,0.14285714285714288,0.2705882352941177,0.000305800000205636,0.20818713450292398,0.04477611940298509,21990,2,1710,170,tfidf
0.45,0.05084745762711864,0.2833333333333333,0.0007352999964496121,0.0345514950166113,0.0,302,2,4515,196,tfidf
0.5054945054945055,0.18888888888888886,0.27472527472527475,0.0005516999954124913,0.12915851272015655,0.0,13373,2,3066,172,tfidf
0.5,0.18309859154929578,0.25,0.000255000006291084,0.2408,0.0,7678,2,1250,132,tfidf
0.39560439560439564,0.08988764044943821,0.24175824175824176,0.0003679999936139211,0.07778317938745746,0.0,10397,2,2057,131,tfidf
0.55,0.07692307692307694,0.3,0.0002717999886954203,0.05221932114882506,0.0,10754,2,1532,144,tfidf
0.5153374233128833,0.09937888198757765,0.2576687116564417,0.00036610000825021416,0.15274463007159905,0.016949152542372836,19065,2,2095,192,tfidf
0.5942857142857144,0.13872832369942198,0.2857142857142857,0.00028739999106619507,0.22924901185770752,0.0,3451,2,1518,181,tfidf
0.3670886075949367,0.15384615384615385,0.24050632911392403,0.00022450000687967986,0.26009316770186336,0.04477611940298509,21313,2,1288,113,tfidf
0.358974358974359,0.052631578947368425,0.20512820512820512,0.0005000000091968104,0.04225865209471767,0.0,11696,2,2745,139,tfidf
0.6077348066298343,0.2569832402234637,0.2983425414364641,0.0009632000001147389,0.06069416681809922,0.0,2662,2,5503,188,tfidf
0.5362318840579711,0.11764705882352941,0.2608695652173913,0.0004454000008990988,0.07387326330057607,0.0,21291,2,2951,211,tfidf
0.4329896907216495,0.021052631578947368,0.268041237113402,0.0006202999938977882,0.03242176487172258,0.0,21220,2,3547,168,tfidf
0.4393939393939394,0.12307692307692308,0.24242424242424243,0.0006813999934820458,0.07153414129470884,0.0,2407,2,3383,142,tfidf
0.49599999999999994,0.13008130081300812,0.224,0.00039180000021588057,0.14491916859122403,0.0,11742,2,1732,121,tfidf
0.5874125874125875,0.2978723404255319,0.43356643356643354,0.00038579999818466604,0.12609075043630016,0.0,6014,2,2292,148,tfidf
0.5868263473053892,0.20606060606060606,0.2754491017964072,0.0005724999937228858,0.09286382050483016,0.0,15246,2,3209,187,tfidf
0.488,0.16935483870967744,0.272,0.0004082999948877841,0.230837394771821,0.025000000000000022,3333,2,2257,220,tfidf
0.6233766233766234,0.09210526315789473,0.28571428571428575,0.0005652000108966604,0.09831345125462773,0.0,19441,2,2431,204,tfidf
0.5873015873015873,0.16129032258064516,0.25396825396825395,0.00036450001061894,0.10623781676413255,0.0,15704,2,2052,178,tfidf
0.44999999999999996,0.06779661016949151,0.25,0.0004025999951409176,0.11145272867025365,0.0,7989,2,2602,113,tfidf
0.5322580645161291,0.22950819672131148,0.33870967741935487,0.00025090000417549163,0.14567430025445294,0.0,16012,2,1572,172,tfidf
0.5824175824175823,0.1,0.25274725274725274,0.0002521999995224178,0.300163132137031,0.0,17494,2,1226,185,tfidf
0.5323741007194244,0.18978102189781024,0.2589928057553957,0.0005035999929532409,0.10276127228241873,0.0,19618,2,2861,158,tfidf
0.537142857142857,0.17341040462427745,0.2628571428571429,0.000563900000997819,0.07771875873637125,0.0,7408,2,3577,241,tfidf
0.47852760736196326,0.17391304347826086,0.3067484662576687,0.0003873999958159402,0.1845996940336563,0.0,9297,2,1961,103,tfidf
0.39490445859872614,0.1935483870967742,0.22929936305732482,0.00033420001273043454,0.21786120591581343,0.0,11577,2,1758,130,tfidf
0.5454545454545455,0.07692307692307693,0.2575757575757576,0.00037769999471493065,0.10562248995983936,0.019230769230769273,16686,2,2490,165,tfidf
0.5,0.15555555555555556,0.34782608695652173,0.0005354000022634864,0.04632645674990952,0.0,17856,2,2763,167,tfidf
0.4565217391304347,0.1111111111111111,0.23913043478260868,0.0007474000012734905,0.040161543639219206,0.0,1486,2,4457,94,tfidf
0.47058823529411764,0.2,0.23529411764705882,0.00048329999845009297,0.06788277511961723,0.0,18826,2,3344,90,tfidf
0.4691358024691358,0.0759493670886076,0.24691358024691357,0.00043220000225119293,0.03766990291262136,0.0,9142,2,2575,130,tfidf
0.48076923076923084,0.2038834951456311,0.2596153846153846,0.0002539999986765906,0.3261032161555722,0.013698630136986356,17476,2,1337,174,tfidf
0.5616438356164384,0.16666666666666666,0.2876712328767123,0.0003392000071471557,0.1598317560462671,0.0625,16307,2,1902,148,tfidf
0.4905660377358491,0.1656050955414013,0.23899371069182387,0.0006277999927988276,0.14828209764918626,0.0,10212,2,2212,138,tfidf
0.5477707006369426,0.19354838709677416,0.2929936305732484,0.0003935999993700534,0.24743892828999212,0.01851851851851849,5436,2,1269,168,tfidf
0.4793388429752066,0.13445378151260506,0.23140495867768593,0.0010980000079143792,0.03330855018587361,0.0,511,2,6725,128,tfidf
0.4878048780487804,0.08264462809917356,0.26016260162601623,0.0010845000069821253,0.053542948279790385,0.0,17585,2,4389,137,tfidf
0.4696969696969697,0.16923076923076927,0.3333333333333333,0.0004040000058012083,0.15551643192488263,0.0,19311,2,1704,123,tfidf
0.5416666666666666,0.11578947368421051,0.28125,0.00039870000910013914,0.15821413090593844,0.0,18170,2,2307,216,tfidf
0.5841269841269842,0.19169329073482425,0.2920634920634921,0.0010235999943688512,0.09698034829845023,0.00990099009900991,13764,2,6259,308,tfidf
0.45238095238095233,0.0975609756097561,0.23809523809523808,0.0004974000039510429,0.049223946784922396,0.0,6681,2,2255,154,tfidf
0.5780346820809249,0.15204678362573099,0.30057803468208094,0.0007781000022077933,0.06658343736995423,0.018867924528301883,17789,2,4806,177,tfidf
0.5853658536585366,0.19834710743801653,0.2601626016260163,0.000294400000711903,0.09974093264248704,0.0,17033,2,1544,242,tfidf
0.5233644859813084,0.13333333333333333,0.24299065420560748,0.00040530000114813447,0.08843212237093691,0.0,1744,2,2092,141,tfidf
0.5537190082644627,0.20833333333333334,0.3388429752066116,0.0003386000025784597,0.20582793709528216,0.18279569892473113,15297,2,2162,290,tfidf
0.5714285714285715,0.23931623931623933,0.3025210084033613,0.0006570000114152208,0.056975505857294995,0.0,20805,2,3756,132,tfidf
0.507936507936508,0.11290322580645162,0.28571428571428564,0.00025379999715369195,0.12831541218637993,0.07499999999999996,2439,2,1395,187,tfidf
