rouge1_f,rouge2_f,rougeL_f,latency_sec,compression_ratio,repetition_rate,top_k
0.4,0.10752688172043012,0.23157894736842108,0.0004881999921053648,0.030006743088334457,0.0,2
0.5806451612903226,0.18032786885245902,0.33870967741935487,0.0002455999929225072,0.18465655664585193,0.025000000000000022,2
0.6176470588235294,0.373134328358209,0.44117647058823534,0.00042350000876467675,0.10080134964150148,0.022222222222222254,2
0.5666666666666667,0.20224719101123595,0.3111111111111111,0.0002023999986704439,0.2953020134228188,0.01449275362318836,2
0.2770780856423174,0.11645569620253166,0.1914357682619648,0.0007286999898497015,0.21405544809800128,0.09248554913294793,2
0.4705882352941177,0.13675213675213674,0.26890756302521013,0.0002302999928360805,0.19793459552495696,0.0,2
0.6019417475728156,0.5882352941176471,0.6019417475728156,0.0004450999986147508,0.167816091954023,0.0,2
0.6040268456375839,0.28571428571428575,0.389261744966443,0.00021469999046530575,0.23314065510597304,0.0444444444444444,2
0.6666666666666666,0.37894736842105264,0.4375,0.0004380000027595088,0.14464646464646463,0.016129032258064502,2
0.6138613861386139,0.42424242424242425,0.4950495049504951,0.00021980000019539148,0.2604298356510746,0.0,2
0.6853146853146853,0.24113475177304966,0.3776223776223776,0.00032110000029206276,0.11484006292606187,0.0,2
0.21568627450980396,0.04,0.1568627450980392,0.0003136000013910234,0.041413583655438985,0.0,2
0.4545454545454545,0.14814814814814814,0.2545454545454546,0.00035770000249613076,0.12095933263816476,0.04878048780487809,2
0.36170212765957455,0.043478260869565216,0.2553191489361702,0.0003144999936921522,0.16102683780630106,0.0,2
0.378698224852071,0.15568862275449102,0.22485207100591717,0.0002263000060338527,0.3047244094488189,0.0,2
0.5263157894736843,0.19642857142857145,0.28070175438596495,0.0010853999992832541,0.026464760826493065,0.052631578947368474,2
0.32941176470588235,0.07228915662650602,0.21176470588235297,0.0005468000017572194,0.021834061135371178,0.0,2
0.5146198830409358,0.21301775147928992,0.2807017543859649,0.0004126999992877245,0.13707165109034267,0.0,2
0.6133333333333332,0.35616438356164387,0.5333333333333333,0.0002815000043483451,0.062085593731163354,0.0,2
0.48167539267015713,0.17989417989417988,0.33507853403141363,0.0005373000021791086,0.11722701576911633,0.11392405063291144,2
0.5692307692307692,0.125,0.26153846153846155,0.0003656000044429675,0.09819121447028424,0.0,2
0.6190476190476191,0.1935483870967742,0.36507936507936506,0.00035539999953471124,0.08974358974358974,0.0,2
0.5233644859813084,0.19047619047619047,0.2616822429906542,0.00021670000569429249,0.15984555984555984,0.0,2
