rouge1_f,rouge2_f,rougeL_f,compression_ratio,repetition_rate,guid,top_k,article_char_len,reference_char_len,engine,summarizer_core_latency_sec
0.5196850393700788,0.144,0.28346456692913385,0.0706504824151883,0.0,4850,2,3213,163,tfidf,0.000556399994820822
0.5833333333333333,0.16949152542372883,0.26666666666666666,0.12158231529959279,0.0,19760,2,1719,153,tfidf,0.00029550000181188807
0.4731182795698925,0.16304347826086957,0.27956989247311825,0.10635658914728682,0.0,2581,2,3225,186,tfidf,0.0005583999954978935
0.5301204819277108,0.26829268292682923,0.3132530120481928,0.148636763412489,0.028169014084507005,5590,2,2274,173,tfidf,0.0004210999977658503
0.564102564102564,0.16883116883116883,0.3076923076923077,0.08051859433640396,0.04761904761904767,14528,2,2931,235,tfidf,0.00043569999979808927
0.14814814814814814,0.0,0.12345679012345677,0.009747292418772563,0.0,18313,2,2770,217,tfidf,0.00043340000411262736
0.17777777777777776,0.0,0.13333333333333333,0.020700636942675158,0.0,7791,2,2512,116,tfidf,0.0003949000019929372
0.6444444444444445,0.4090909090909091,0.5333333333333333,0.04609523809523809,0.0,2597,2,2625,156,tfidf,0.0004380000027595088
0.3644859813084112,0.2075471698113208,0.23364485981308408,0.32403297400126824,0.0,10618,2,1577,130,tfidf,0.0002906000008806586
0.5,0.0963855421686747,0.27380952380952384,0.08866995073891626,0.0,4572,2,3857,200,tfidf,0.0006537000008393079
0.3835616438356165,0.041666666666666664,0.19178082191780824,0.11635687732342008,0.04081632653061229,5293,2,2690,132,tfidf,0.0004050999996252358
0.6415094339622641,0.11538461538461538,0.28301886792452835,0.07020109689213894,0.0,14422,2,2735,114,tfidf,0.00045170000521466136
0.48543689320388345,0.099009900990099,0.23300970873786409,0.08288928359976318,0.0,15241,2,1689,163,tfidf,0.0003251000016462058
0.5116279069767442,0.17647058823529416,0.29069767441860467,0.2069364161849711,0.0,3515,2,1730,153,tfidf,0.00026449999859323725
0.5411764705882354,0.13095238095238096,0.2588235294117647,0.15557778889444723,0.07272727272727275,17037,2,1999,204,tfidf,0.00031510000553680584
0.48684210526315785,0.21333333333333332,0.2894736842105263,0.2501979414093428,0.0,16985,2,1263,156,tfidf,0.000228899996727705
0.5416666666666666,0.21126760563380284,0.2777777777777778,0.056133464180569186,0.021276595744680882,10706,2,5095,146,tfidf,0.0007627000013599172
0.6114649681528662,0.23225806451612904,0.38216560509554137,0.14933741080530072,0.0,4292,2,1962,200,tfidf,0.00029039999935775995
0.46846846846846846,0.14678899082568805,0.25225225225225223,0.12330456226880394,0.0,3022,2,1622,151,tfidf,0.00025659999664640054
0.43333333333333335,0.05084745762711865,0.2833333333333333,0.06864724545716758,0.0,8033,2,3467,127,tfidf,0.0005990000063320622
0.37333333333333335,0.027397260273972605,0.2666666666666666,0.05768132495716733,0.0,12663,2,1751,127,tfidf,0.0002890999967348762
0.577319587628866,0.12631578947368421,0.30927835051546393,0.06317267197005147,0.0,1131,2,2137,150,tfidf,0.0003769000031752512
0.5128205128205128,0.27272727272727276,0.3333333333333333,0.3017312448474856,0.0,11856,2,1213,141,tfidf,0.00018989999807672575
0.49152542372881364,0.15517241379310345,0.288135593220339,0.09147095179233622,0.0,9978,2,2427,128,tfidf,0.0003904999975929968
0.49142857142857144,0.21965317919075145,0.33142857142857146,0.10643889618922471,0.0,3140,2,3044,170,tfidf,0.0005912999986321665
0.5294117647058824,0.2142857142857143,0.2941176470588235,0.0945179584120983,0.015625,1660,2,3703,168,tfidf,0.0005151000004843809
0.5491803278688524,0.17355371900826447,0.27868852459016397,0.18838241226300928,0.012499999999999956,22543,2,2479,249,tfidf,0.000385499995900318
0.5935483870967742,0.1830065359477124,0.3096774193548387,0.13336326897171083,0.0,5956,2,2227,170,tfidf,0.00037349999911384657
0.37777777777777777,0.07865168539325844,0.21111111111111114,0.10797640420620672,0.0,20421,2,3899,144,tfidf,0.0005238000012468547
0.4210526315789474,0.1466666666666667,0.2368421052631579,0.11008902077151335,0.03703703703703709,13602,2,3370,121,tfidf,0.0005081999988760799
0.35714285714285715,0.024390243902439025,0.21428571428571427,0.029448885149347917,0.0,9053,2,4754,122,tfidf,0.0008317000028910115
0.5079365079365079,0.11290322580645161,0.28571428571428575,0.06689917564996829,0.0,20801,2,3154,165,tfidf,0.0005625999983749352
0.5135135135135135,0.1232876712328767,0.28378378378378377,0.22724252491694352,0.017241379310344862,9971,2,1505,146,tfidf,0.0002969999986817129
0.4370860927152318,0.1342281879194631,0.27814569536423844,0.22427440633245382,0.0,9821,2,1516,133,tfidf,0.00026190000062342733
0.6455026455026455,0.26737967914438504,0.3068783068783069,0.04722921914357683,0.0,6235,2,4764,344,tfidf,0.0006903999965288676
0.4727272727272727,0.09259259259259257,0.23636363636363636,0.09117281392457521,0.02777777777777779,6131,2,2413,137,tfidf,0.0003934999986086041
0.6666666666666666,0.18072289156626506,0.3333333333333333,0.08115759672853098,0.0,17675,2,3179,212,tfidf,0.0005307000028551556
0.5139664804469273,0.13559322033898305,0.26815642458100564,0.13837920489296637,0.0,2895,2,2616,180,tfidf,0.0003831000067293644
0.09523809523809523,0.0,0.09523809523809523,0.013941018766756031,0.0,788,2,1865,122,tfidf,0.0003432000012253411
0.43093922651933697,0.23463687150837992,0.23204419889502761,0.2783576896311761,0.0,7289,2,1437,123,tfidf,0.0002620999948703684
0.35359116022099446,0.055865921787709494,0.23204419889502761,0.1326186830015314,0.0,10055,2,3265,124,tfidf,0.0004999000011594035
0.37777777777777777,0.1797752808988764,0.22222222222222224,0.39137510170870626,0.02197802197802201,15545,2,1229,139,tfidf,0.0002055000004475005
0.5955056179775281,0.3068181818181818,0.44943820224719105,0.2490974729241877,0.0,7340,2,1385,210,tfidf,0.00023440000222763047
